hprodid,hprodname,genname,gencode,saltdesc,saltcode,formdesc,formcode,stredesc,strecode,unitdesc,unitcode,edl,pndf_classification,status,pprice,sprice,packcode,packdesc,mdrprice,mdrp_dateasof,price_indicator
CONJU0000000683TAB490000000000,CONJUGATED EQUINE ESTROGEN 1.25 mg TABLET,CONJUGATED EQUINE ESTROGEN,CONJU,,0,TABLET,TAB49,1.25 mg,683,,0,,,,,,0,,,,
CONJU0000000687TAB490000000000,CONJUGATED EQUINE ESTROGEN 300 mcg TABLET,CONJUGATED EQUINE ESTROGEN,CONJU,,0,TABLET,TAB49,300 mcg,687,,0,,,,,,0,,,,
CONJU0000000470TAB490000000000,CONJUGATED EQUINE ESTROGEN 625 mcg TABLET,CONJUGATED EQUINE ESTROGEN,CONJU,,0,TABLET,TAB49,625 mcg,470,,0,,,,,,0,,,,
CONJ10000000684TAB490000000000,CONJUGATED EQUINE ESTROGEN + MEDROXYPROGESTERONE ACETATE 625 mcg + 2.5 mg TABLET,CONJUGATED EQUINE ESTROGEN + MEDROXYPROGESTERONE ACETATE,CONJ1,,0,TABLET,TAB49,625 mcg + 2.5 mg,684,,0,,,,,,0,,,,
CONJ10000000685TAB490000000000,CONJUGATED EQUINE ESTROGEN + MEDROXYPROGESTERONE ACETATE 625 mcg + 5 mg TABLET,CONJUGATED EQUINE ESTROGEN + MEDROXYPROGESTERONE ACETATE,CONJ1,,0,TABLET,TAB49,625 mcg + 5 mg,685,,0,,,,,,0,,,,
CONJ20000000683TAB490000000000,CONJUGATED ESTROGENS 1.25 mg TABLET,CONJUGATED ESTROGENS,CONJ2,,0,TABLET,TAB49,1.25 mg,683,,0,,,,,,0,,,,
CONJ20000000686POW2700000VIALX,CONJUGATED ESTROGENS 25 mg powder + 5 mL diluent POWDER VIAL,CONJUGATED ESTROGENS,CONJ2,,0,POWDER,POW27,25 mg powder + 5 mL diluent,686,,0,,,,,,VIALX,VIAL,,,
CONJ20000000687TAB490000000000,CONJUGATED ESTROGENS 300 mcg TABLET,CONJUGATED ESTROGENS,CONJ2,,0,TABLET,TAB49,300 mcg,687,,0,,,,,,0,,,,
CONJ20000000470TAB490000000000,CONJUGATED ESTROGENS 625 mcg TABLET,CONJUGATED ESTROGENS,CONJ2,,0,TABLET,TAB49,625 mcg,470,,0,,,,,,0,,,,
COTR10000001220SUS1400178BOTTL,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 200 mg + 40 mg/5 mL SUSPENSION 100 mL BOTTLE,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,SUSPENSION,SUS14,200 mg + 40 mg/5 mL,1220,100 mL,178,,,,,,BOTTL,BOTTLE,,,
COTR10000001220SUS1400379BOTTL,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 200 mg + 40 mg/5 mL SUSPENSION 30 mL BOTTLE,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,SUSPENSION,SUS14,200 mg + 40 mg/5 mL,1220,30 mL,379,,,,,,BOTTL,BOTTLE,,,
COTR10000001220SUS1400469BOTTL,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 200 mg + 40 mg/5 mL SUSPENSION 60 mL BOTTLE,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,SUSPENSION,SUS14,200 mg + 40 mg/5 mL,1220,60 mL,469,,,,,,BOTTL,BOTTLE,,,
COTR10000001220SUS1401391BOTTL,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 200 mg + 40 mg/5 mL SUSPENSION 70 mL BOTTLE,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,SUSPENSION,SUS14,200 mg + 40 mg/5 mL,1220,70 mL,1391,,,,,,BOTTL,BOTTLE,,,
COTR10000000035CAPSU0000000000,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 400 mg + 80 mg CAPSULE,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,CAPSULE,CAPSU,400 mg + 80 mg,35,,0,,,,,,0,,,,
COTR10000000035TAB490000000000,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 400 mg + 80 mg TABLET,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,TABLET,TAB49,400 mg + 80 mg,35,,0,,,,,,0,,,,
COTR10000000035SOL3200060AMPUL,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 400 mg + 80 mg SOLUTION 5 mL AMPULE,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,SOLUTION,SOL32,400 mg + 80 mg,35,5 mL,60,,,,,,AMPUL,AMPULE,,,
COTR10000000400SUS1400379BOTTL,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 400 mg + 80 mg/5 mL SUSPENSION 30 mL BOTTLE,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,SUSPENSION,SUS14,400 mg + 80 mg/5 mL,400,30 mL,379,,,,,,BOTTL,BOTTLE,,,
COTR10000000400SUS1400469BOTTL,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 400 mg + 80 mg/5 mL SUSPENSION 60 mL BOTTLE,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,SUSPENSION,SUS14,400 mg + 80 mg/5 mL,400,60 mL,469,,,,,,BOTTL,BOTTLE,,,
COTR10000001357TAB490000000000,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM) 800 mg + 160 mg TABLET,COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM),COTR1,,0,TABLET,TAB49,800 mg + 160 mg,1357,,0,,,,,,0,,,,
CROTA0000000133CREA301380TUB01,CROTAMITON 10% CREAM 10 g TUBE,CROTAMITON,CROTA,,0,CREAM,CREA3,10%,133,10 g,1380,,,,,,TUB01,TUBE,,,
CROTA0000000133LOTI100201BOTTL,CROTAMITON 10% LOTION 120 mL BOTTLE,CROTAMITON,CROTA,,0,LOTION,LOTI1,10%,133,120 mL,201,,,,,,BOTTL,BOTTLE,,,
CROTA0000000133LOTI100469BOTTL,CROTAMITON 10% LOTION 60 mL BOTTLE,CROTAMITON,CROTA,,0,LOTION,LOTI1,10%,133,60 mL,469,,,,,,BOTTL,BOTTLE,,,
CYCLO0000000000SOL3200241VIALX,CYCLOPHOSPHAMIDE SOLUTION 1 g VIAL,CYCLOPHOSPHAMIDE,CYCLO,,0,SOLUTION,SOL32,,0,1 g,241,,,,,,VIALX,VIAL,,,
CYCLO0000000000POW2700139VIALX,CYCLOPHOSPHAMIDE POWDER 100 mg VIAL,CYCLOPHOSPHAMIDE,CYCLO,,0,POWDER,POW27,,0,100 mg,139,,,,,,VIALX,VIAL,,,
CYCLO0000000000POW2700004VIALX,CYCLOPHOSPHAMIDE POWDER 200 mg VIAL,CYCLOPHOSPHAMIDE,CYCLO,,0,POWDER,POW27,,0,200 mg,4,,,,,,VIALX,VIAL,,,
CYCLO0000600050TAB490000000000,CYCLOPHOSPHAMIDE ( as ANHYDROUS) 50 mg TABLET,CYCLOPHOSPHAMIDE,CYCLO,ANHYDROUS,6,TABLET,TAB49,50 mg,50,,0,,,,,,0,,,,
CYCLO0000000000POW2700047VIALX,CYCLOPHOSPHAMIDE POWDER 500 mg VIAL,CYCLOPHOSPHAMIDE,CYCLO,,0,POWDER,POW27,,0,500 mg,47,,,,,,VIALX,VIAL,,,
CYPRO0000100142SOL3200388AMPUL,CYPROTERONE ( as ACETATE) 100 mg/ml SOLUTION 3 mL AMPULE,CYPROTERONE,CYPRO,ACETATE,1,SOLUTION,SOL32,100 mg/ml,142,3 mL,388,,,,,,AMPUL,AMPULE,,,
CYPRO0000100050TAB490000000000,CYPROTERONE ( as ACETATE) 50 mg TABLET,CYPROTERONE,CYPRO,ACETATE,1,TABLET,TAB49,50 mg,50,,0,,,,,,0,,,,
CYTAR0000000000POW2700139VIALX,CYTARABINE POWDER 100 mg VIAL,CYTARABINE,CYTAR,,0,POWDER,POW27,,0,100 mg,139,,,,,,VIALX,VIAL,,,
CYTAR0000000142SOL3200516VIALX,CYTARABINE 100 mg/ml SOLUTION 1 mL VIAL,CYTARABINE,CYTAR,,0,SOLUTION,SOL32,100 mg/ml,142,1 mL,516,,,,,,VIALX,VIAL,,,
CYTAR0000000142SOL3200195VIALX,CYTARABINE 100 mg/ml SOLUTION 10 mL VIAL,CYTARABINE,CYTAR,,0,SOLUTION,SOL32,100 mg/ml,142,10 mL,195,,,,,,VIALX,VIAL,,,
CYTAR0000000142SOL320006000000,CYTARABINE 100 mg/ml SOLUTION 5 mL,CYTARABINE,CYTAR,,0,SOLUTION,SOL32,100 mg/ml,142,5 mL,60,,,,,,0,,,,
CYTAR0000001199SOL3200060AMPUL,CYTARABINE 20 mg/mL SOLUTION 5 mL AMPULE,CYTARABINE,CYTAR,,0,SOLUTION,SOL32,20 mg/mL,1199,5 mL,60,,,,,,AMPUL,AMPULE,,,
DACAR0000000000POW2700139VIALX,DACARBAZINE POWDER 100 mg VIAL,DACARBAZINE,DACAR,,0,POWDER,POW27,,0,100 mg,139,,,,,,VIALX,VIAL,,,
DACAR0000000000POW2700004VIALX,DACARBAZINE POWDER 200 mg VIAL,DACARBAZINE,DACAR,,0,POWDER,POW27,,0,200 mg,4,,,,,,VIALX,VIAL,,,
DACTI0000000000POW2700045VIALX,DACTINOMYCIN (ACTINOMYCIN D) POWDER 500 mcg VIAL,DACTINOMYCIN (ACTINOMYCIN D),DACTI,,0,POWDER,POW27,,0,500 mcg,45,,,,,,VIALX,VIAL,,,
DALTE0005100696SOL3200516AMPUL,DALTEPARIN ( as SODIUM) 10000 IU/mL SOLUTION 1 mL AMPULE,DALTEPARIN,DALTE,SODIUM,51,SOLUTION,SOL32,10000 IU/mL,696,1 mL,516,,,,,,AMPUL,AMPULE,,,
DALTE0005100694SOL3200000PFS01,DALTEPARIN ( as SODIUM) 2500 IU/0.2 mL SOLUTION PRE-FILLED SYRINGE,DALTEPARIN,DALTE,SODIUM,51,SOLUTION,SOL32,2500 IU/0.2 mL,694,,0,,,,,,PFS01,PRE-FILLED SYRINGE,,,
DALTE0005100695SOL3200000PFS01,DALTEPARIN ( as SODIUM) 5000 IU/0.2 mL SOLUTION PRE-FILLED SYRINGE,DALTEPARIN,DALTE,SODIUM,51,SOLUTION,SOL32,5000 IU/0.2 mL,695,,0,,,,,,PFS01,PRE-FILLED SYRINGE,,,
DANAZ0000000139CAPSU0000000000,DANAZOL 100 mg CAPSULE,DANAZOL,DANAZ,,0,CAPSULE,CAPSU,100 mg,139,,0,,,,,,0,,,,
DANAZ0000000004CAPSU0000000000,DANAZOL 200 mg CAPSULE,DANAZOL,DANAZ,,0,CAPSULE,CAPSU,200 mg,4,,0,,,,,,0,,,,
DANTR0005300697SOL3200000VIALX,DANTROLENE ( as SODIUM SALT) 20 mg (with 3 g mannitol/vial) SOLUTION VIAL,DANTROLENE,DANTR,SODIUM SALT,53,SOLUTION,SOL32,20 mg (with 3 g mannitol/vial),697,,0,,,,,,VIALX,VIAL,,,
DANTR0005300021CAPSU0000000000,DANTROLENE ( as SODIUM SALT) 25 mg CAPSULE,DANTROLENE,DANTR,SODIUM SALT,53,CAPSULE,CAPSU,25 mg,21,,0,,,,,,0,,,,
DANTR0005300050CAPSU0000000000,DANTROLENE ( as SODIUM SALT) 50 mg CAPSULE,DANTROLENE,DANTR,SODIUM SALT,53,CAPSULE,CAPSU,50 mg,50,,0,,,,,,0,,,,
DAPSO0000000139TAB490000000000,DAPSONE 100 mg TABLET,DAPSONE,DAPSO,,0,TABLET,TAB49,100 mg,139,,0,,,,,,0,,,,
DAUNO0000000357SOL3200195VIALX,DAUNORUBICIN 2 mg/ml SOLUTION 10 mL VIAL,DAUNORUBICIN,DAUNO,,0,SOLUTION,SOL32,2 mg/ml,357,10 mL,195,,,,,,VIALX,VIAL,,,
DAUNO0000000357SOL3201375VIALX,DAUNORUBICIN 2 mg/ml SOLUTION 25 mL VIAL,DAUNORUBICIN,DAUNO,,0,SOLUTION,SOL32,2 mg/ml,357,25 mL,1375,,,,,,VIALX,VIAL,,,
DEFE10000000047TAB490000000000,DEFERIPRONE 500 mg TABLET,DEFERIPRONE,DEFE1,,0,TABLET,TAB49,500 mg,47,,0,,,,,,0,,,,
DEFER0003700025SOL3200000VIALX,DEFEROXAMINE ( as MESILATE) 2 g SOLUTION VIAL,DEFEROXAMINE,DEFER,MESILATE,37,SOLUTION,SOL32,2 g,25,,0,,,,,,VIALX,VIAL,,,
DEFER0003700047SOL3200000VIALX,DEFEROXAMINE ( as MESILATE) 500 mg SOLUTION VIAL,DEFEROXAMINE,DEFER,MESILATE,37,SOLUTION,SOL32,500 mg,47,,0,,,,,,VIALX,VIAL,,,
DESF10000000322SOL3200000BOTTL,DESFLURANE 240 mL SOLUTION BOTTLE,DESFLURANE,DESF1,,0,SOLUTION,SOL32,240 mL,322,,0,,,,,,BOTTL,BOTTLE,,,
DESMO0000100148TAB490000000000,DESMOPRESSIN ( as ACETATE) 100 mcg TABLET,DESMOPRESSIN,DESMO,ACETATE,1,TABLET,TAB49,100 mcg,148,,0,,,,,,0,,,,
DESMO0000100699SOL3200516AMPUL,DESMOPRESSIN ( as ACETATE) 15 mcg/mL SOLUTION 1 mL AMPULE,DESMOPRESSIN,DESMO,ACETATE,1,SOLUTION,SOL32,15 mcg/mL,699,1 mL,516,,,,,,AMPUL,AMPULE,,,
DESMO0000100508TAB490000000000,DESMOPRESSIN ( as ACETATE) 200 mcg TABLET,DESMOPRESSIN,DESMO,ACETATE,1,TABLET,TAB49,200 mcg,508,,0,,,,,,0,,,,
DEXAM0000000082EDS0100060BOTTL,DEXAMETHASONE 0.10% EYE DROPS SUSPENSION 5 mL BOTTLE,DEXAMETHASONE,DEXAM,,0,EYE DROPS SUSPENSION,EDS01,0.10%,82,5 mL,60,,,,,,BOTTL,BOTTLE,,,
DEXAM0000000033TAB490000000000,DEXAMETHASONE 3 mg TABLET,DEXAMETHASONE,DEXAM,,0,TABLET,TAB49,3 mg,33,,0,,,,,,0,,,,
DEXAM0000000041TAB490000000000,DEXAMETHASONE 4 mg TABLET,DEXAMETHASONE,DEXAM,,0,TABLET,TAB49,4 mg,41,,0,,,,,,0,,,,
DEXAM0005200414SOL3200361AMPUL,DEXAMETHASONE ( as SODIUM PHOSPHATE) 4 mg/mL SOLUTION 2 mL AMPULE,DEXAMETHASONE,DEXAM,SODIUM PHOSPHATE,52,SOLUTION,SOL32,4 mg/mL,414,2 mL,361,,,,,,AMPUL,AMPULE,,,
DEXAM0005200414SOL3200361VIALX,DEXAMETHASONE ( as SODIUM PHOSPHATE) 4 mg/mL SOLUTION 2 mL VIAL,DEXAMETHASONE,DEXAM,SODIUM PHOSPHATE,52,SOLUTION,SOL32,4 mg/mL,414,2 mL,361,,,,,,VIALX,VIAL,,,
DEXAM0005200414SOL3200516AMPUL,DEXAMETHASONE ( as SODIUM PHOSPHATE) 4 mg/mL SOLUTION 1 mL AMPULE,DEXAMETHASONE,DEXAM,SODIUM PHOSPHATE,52,SOLUTION,SOL32,4 mg/mL,414,1 mL,516,,,,,,AMPUL,AMPULE,,,
DEXAM0005200414SOL3200516VIALX,DEXAMETHASONE ( as SODIUM PHOSPHATE) 4 mg/mL SOLUTION 1 mL VIAL,DEXAMETHASONE,DEXAM,SODIUM PHOSPHATE,52,SOLUTION,SOL32,4 mg/mL,414,1 mL,516,,,,,,VIALX,VIAL,,,
DEXAM0005200459SOL3200516AMPUL,DEXAMETHASONE ( as SODIUM PHOSPHATE) 5 mg/mL SOLUTION 1 mL AMPULE,DEXAMETHASONE,DEXAM,SODIUM PHOSPHATE,52,SOLUTION,SOL32,5 mg/mL,459,1 mL,516,,,,,,AMPUL,AMPULE,,,
DEXAM0000000045TAB490000000000,DEXAMETHASONE 500 mcg TABLET,DEXAMETHASONE,DEXAM,,0,TABLET,TAB49,500 mcg,45,,0,,,,,,0,,,,
DEXAM0000000700TAB490000000000,DEXAMETHASONE 750 mcg TABLET,DEXAMETHASONE,DEXAM,,0,TABLET,TAB49,750 mcg,700,,0,,,,,,0,,,,
DEX700000000464SOL3200044BOTTL,"DEXTRAN, HIGH MOLECULAR WEIGHT (DEXTRAN 70) 6%, Dextran 70 in 0.9% NaCl SOLUTION 500 mL BOTTLE","DEXTRAN, HIGH MOLECULAR WEIGHT (DEXTRAN 70)",DEX70,,0,SOLUTION,SOL32,"6%, Dextran 70 in 0.9% NaCl",464,500 mL,44,,,,,,BOTTL,BOTTLE,,,
DEX700000000465SOL3200044BOTTL,"DEXTRAN, HIGH MOLECULAR WEIGHT (DEXTRAN 70) 6%, Dextran 70 in 5% Dextrose SOLUTION 500 mL BOTTLE","DEXTRAN, HIGH MOLECULAR WEIGHT (DEXTRAN 70)",DEX70,,0,SOLUTION,SOL32,"6%, Dextran 70 in 5% Dextrose",465,500 mL,44,,,,,,BOTTL,BOTTLE,,,
DEX400000000701SOL3200044BOTTL,"DEXTRAN, LOW MOLECULAR WEIGHT (DEXTRAN 40) 10% dextran 40 in 0.9% NaCl SOLUTION 500 mL BOTTLE","DEXTRAN, LOW MOLECULAR WEIGHT (DEXTRAN 40)",DEX40,,0,SOLUTION,SOL32,10% dextran 40 in 0.9% NaCl,701,500 mL,44,,,,,,BOTTL,BOTTLE,,,
DEX400000000702SOL3200044BOTTL,"DEXTRAN, LOW MOLECULAR WEIGHT (DEXTRAN 40) 10% dextran 40 in 5% dextrose SOLUTION 500 mL BOTTLE","DEXTRAN, LOW MOLECULAR WEIGHT (DEXTRAN 40)",DEX40,,0,SOLUTION,SOL32,10% dextran 40 in 5% dextrose,702,500 mL,44,,,,,,BOTTL,BOTTLE,,,
DEXTR0000200069TAB490000000000,DEXTROMETHORPHAN ( as HYDROCHLORIDE) 10 mg TABLET,DEXTROMETHORPHAN,DEXTR,HYDROCHLORIDE,2,TABLET,TAB49,10 mg,69,,0,,,,,,0,,,,
DEXTR0000200184SYRUP00469BOTTL,DEXTROMETHORPHAN ( as HYDROCHLORIDE) 10 mg/5 mL SYRUP 60 mL BOTTLE,DEXTROMETHORPHAN,DEXTR,HYDROCHLORIDE,2,SYRUP,SYRUP,10 mg/5 mL,184,60 mL,469,,,,,,BOTTL,BOTTLE,,,
DEXTR0000200706SYRUP00201BOTTL,DEXTROMETHORPHAN ( as HYDROCHLORIDE) 15 mg/5 mL SYRUP 120 mL BOTTLE,DEXTROMETHORPHAN,DEXTR,HYDROCHLORIDE,2,SYRUP,SYRUP,15 mg/5 mL,706,120 mL,201,,,,,,BOTTL,BOTTLE,,,
DEXTR0000200706SYRUP00379BOTTL,DEXTROMETHORPHAN ( as HYDROCHLORIDE) 15 mg/5 mL SYRUP 30 mL BOTTLE,DEXTROMETHORPHAN,DEXTR,HYDROCHLORIDE,2,SYRUP,SYRUP,15 mg/5 mL,706,30 mL,379,,,,,,BOTTL,BOTTLE,,,
DEXTR0000200706SYRUP00469BOTTL,DEXTROMETHORPHAN ( as HYDROCHLORIDE) 15 mg/5 mL SYRUP 60 mL BOTTLE,DEXTROMETHORPHAN,DEXTR,HYDROCHLORIDE,2,SYRUP,SYRUP,15 mg/5 mL,706,60 mL,469,,,,,,BOTTL,BOTTLE,,,
DEXTR0000200454SYRUP00201BOTTL,DEXTROMETHORPHAN ( as HYDROCHLORIDE) 5 mg/5 mL SYRUP 120 mL BOTTLE,DEXTROMETHORPHAN,DEXTR,HYDROCHLORIDE,2,SYRUP,SYRUP,5 mg/5 mL,454,120 mL,201,,,,,,BOTTL,BOTTLE,,,
DEXTR0000200454SYRUP00379BOTTL,DEXTROMETHORPHAN ( as HYDROCHLORIDE) 5 mg/5 mL SYRUP 30 mL BOTTLE,DEXTROMETHORPHAN,DEXTR,HYDROCHLORIDE,2,SYRUP,SYRUP,5 mg/5 mL,454,30 mL,379,,,,,,BOTTL,BOTTLE,,,
DEXTR0000200454SYRUP00469BOTTL,DEXTROMETHORPHAN ( as HYDROCHLORIDE) 5 mg/5 mL SYRUP 60 mL BOTTLE,DEXTROMETHORPHAN,DEXTR,HYDROCHLORIDE,2,SYRUP,SYRUP,5 mg/5 mL,454,60 mL,469,,,,,,BOTTL,BOTTLE,,,
DZAC10000001348SOL3201348DRU01,DIALYSATE (ACETATE BASED) 10 L SOLUTION 10 L DRUM,DIALYSATE (ACETATE BASED),DZAC1,,0,SOLUTION,SOL32,10 L,1348,10 L,1348,,,,,,DRU01,DRUM,,,
DZAC10000000000SOL3201346DRU01,DIALYSATE (ACETATE BASED) SOLUTION 5 gallon (approx. 20 L) DRUM,DIALYSATE (ACETATE BASED),DZAC1,,0,SOLUTION,SOL32,,0,5 gallon (approx. 20 L),1346,,,,,,DRU01,DRUM,,,
DZAC10000000000SOL3201347DRU01,DIALYSATE (ACETATE BASED) SOLUTION 5 L DRUM,DIALYSATE (ACETATE BASED),DZAC1,,0,SOLUTION,SOL32,,0,5 L,1347,,,,,,DRU01,DRUM,,,
DZBC10000000000SOL3201348DRU01,DIALYSATE (BICARBONATE BASED) SOLUTION 10 L DRUM,DIALYSATE (BICARBONATE BASED),DZBC1,,0,SOLUTION,SOL32,,0,10 L,1348,,,,,,DRU01,DRUM,,,
DZBC10000000000SOL3201346DRU01,DIALYSATE (BICARBONATE BASED) SOLUTION 5 gallon (approx. 20 L) DRUM,DIALYSATE (BICARBONATE BASED),DZBC1,,0,SOLUTION,SOL32,,0,5 gallon (approx. 20 L),1346,,,,,,DRU01,DRUM,,,
DZBC10000000000SOL3201347DRU01,DIALYSATE (BICARBONATE BASED) SOLUTION 5 L DRUM,DIALYSATE (BICARBONATE BASED),DZBC1,,0,SOLUTION,SOL32,,0,5 L,1347,,,,,,DRU01,DRUM,,,
DZLC10000000000SOL3201348DRU01,DIALYSATE (LOW CALCIUM) SOLUTION 10 L DRUM,DIALYSATE (LOW CALCIUM),DZLC1,,0,SOLUTION,SOL32,,0,10 L,1348,,,,,,DRU01,DRUM,,,
DZLC10000000000SOL3201346DRU01,DIALYSATE (LOW CALCIUM) SOLUTION 5 gallon (approx. 20 L) DRUM,DIALYSATE (LOW CALCIUM),DZLC1,,0,SOLUTION,SOL32,,0,5 gallon (approx. 20 L),1346,,,,,,DRU01,DRUM,,,
DZLC10000000000SOL3201347DRU01,DIALYSATE (LOW CALCIUM) SOLUTION 5 L DRUM,DIALYSATE (LOW CALCIUM),DZLC1,,0,SOLUTION,SOL32,,0,5 L,1347,,,,,,DRU01,DRUM,,,
DIAZE0000000069TAB490000000000,DIAZEPAM 10 mg TABLET,DIAZEPAM,DIAZE,,0,TABLET,TAB49,10 mg,69,,0,,,,,,0,,,,
DIAZE0000000709RTU0000000TUB01,DIAZEPAM 10 mg/2.5 mL RECTAL TUBE,DIAZEPAM,DIAZE,,0,RECTAL,RTU00,10 mg/2.5 mL,709,,0,,,,,,TUB01,TUBE,,,
DIAZE0000000026TAB490000000000,DIAZEPAM 2 mg TABLET,DIAZEPAM,DIAZE,,0,TABLET,TAB49,2 mg,26,,0,,,,,,0,,,,
DIAZE0000000056TAB490000000000,DIAZEPAM 5 mg TABLET,DIAZEPAM,DIAZE,,0,TABLET,TAB49,5 mg,56,,0,,,,,,0,,,,
DIAZE0000000708RTU0000000TUB01,DIAZEPAM 5 mg/2.5 mL RECTAL TUBE,DIAZEPAM,DIAZE,,0,RECTAL,RTU00,5 mg/2.5 mL,708,,0,,,,,,TUB01,TUBE,,,
DIAZE0000000459SOL3200361AMPUL,DIAZEPAM 5 mg/mL SOLUTION 2 mL AMPULE,DIAZEPAM,DIAZE,,0,SOLUTION,SOL32,5 mg/mL,459,2 mL,361,,,,,,AMPUL,AMPULE,,,
DICLO0005100139TAB490000000000,DICLOFENAC ( as SODIUM) 100 mg TABLET,DICLOFENAC,DICLO,SODIUM,51,TABLET,TAB49,100 mg,139,,0,,,,,,0,,,,
DICLO0005100139CAPSU0000000000,DICLOFENAC ( as SODIUM) 100 mg CAPSULE,DICLOFENAC,DICLO,SODIUM,51,CAPSULE,CAPSU,100 mg,139,,0,,,,,,0,,,,
DICLO0005100021CAPSU0000000000,DICLOFENAC ( as SODIUM) 25 mg CAPSULE,DICLOFENAC,DICLO,SODIUM,51,CAPSULE,CAPSU,25 mg,21,,0,,,,,,0,,,,
DICLO0005100021TAB490000000000,DICLOFENAC ( as SODIUM) 25 mg TABLET,DICLOFENAC,DICLO,SODIUM,51,TABLET,TAB49,25 mg,21,,0,,,,,,0,,,,
DICLO0005300985SOL3200195VIALX,DICLOFENAC ( as SODIUM SALT) 25 mg/mL SOLUTION 10 mL VIAL,DICLOFENAC,DICLO,SODIUM SALT,53,SOLUTION,SOL32,25 mg/mL,985,10 mL,195,,,,,,VIALX,VIAL,,,
DICLO0005300985SOL3200361AMPUL,DICLOFENAC ( as SODIUM SALT) 25 mg/mL SOLUTION 2 mL AMPULE,DICLOFENAC,DICLO,SODIUM SALT,53,SOLUTION,SOL32,25 mg/mL,985,2 mL,361,,,,,,AMPUL,AMPULE,,,
DICLO0005300985SOL3200388AMPUL,DICLOFENAC ( as SODIUM SALT) 25 mg/mL SOLUTION 3 mL AMPULE,DICLOFENAC,DICLO,SODIUM SALT,53,SOLUTION,SOL32,25 mg/mL,985,3 mL,388,,,,,,AMPUL,AMPULE,,,
DICLO0005300713SOL3200361AMPUL,DICLOFENAC ( as SODIUM SALT) 37.5 mg/ml SOLUTION 2 mL AMPULE,DICLOFENAC,DICLO,SODIUM SALT,53,SOLUTION,SOL32,37.5 mg/ml,713,2 mL,361,,,,,,AMPUL,AMPULE,,,
DICLO0005300713SOL3200361PFS01,DICLOFENAC ( as SODIUM SALT) 37.5 mg/ml SOLUTION 2 mL PRE-FILLED SYRINGE,DICLOFENAC,DICLO,SODIUM SALT,53,SOLUTION,SOL32,37.5 mg/ml,713,2 mL,361,,,,,,PFS01,PRE-FILLED SYRINGE,,,
DICLO0005300050CAPSU0000000000,DICLOFENAC ( as SODIUM SALT) 50 mg CAPSULE,DICLOFENAC,DICLO,SODIUM SALT,53,CAPSULE,CAPSU,50 mg,50,,0,,,,,,0,,,,
DICLO0005300050TAB490000000000,DICLOFENAC ( as SODIUM SALT) 50 mg TABLET,DICLOFENAC,DICLO,SODIUM SALT,53,TABLET,TAB49,50 mg,50,,0,,,,,,0,,,,
DICLO0005100065CAPSU0000000000,DICLOFENAC ( as SODIUM) 75 mg CAPSULE,DICLOFENAC,DICLO,SODIUM,51,CAPSULE,CAPSU,75 mg,65,,0,,,,,,0,,,,
DICLO0005100065TAB490000000000,DICLOFENAC ( as SODIUM) 75 mg TABLET,DICLOFENAC,DICLO,SODIUM,51,TABLET,TAB49,75 mg,65,,0,,,,,,0,,,,
DICY10000200069TAB490000000000,DICYCLOVERINE (DICYCLOMINE) ( as HYDROCHLORIDE) 10 mg TABLET,DICYCLOVERINE (DICYCLOMINE),DICY1,HYDROCHLORIDE,2,TABLET,TAB49,10 mg,69,,0,,,,,,0,,,,
DICY10000200184SYRUP00201BOTTL,DICYCLOVERINE (DICYCLOMINE) ( as HYDROCHLORIDE) 10 mg/5 mL SYRUP 120 mL BOTTLE,DICYCLOVERINE (DICYCLOMINE),DICY1,HYDROCHLORIDE,2,SYRUP,SYRUP,10 mg/5 mL,184,120 mL,201,,,,,,BOTTL,BOTTLE,,,
